Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,Arrhythmia,bw,most,cardiac arrest,severe
Leucovorin Calcium,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,,no,no,NA,NA
Cefuroxime sodium,CEFUROXIME SODIUM,cefuroxime sodium,,no,no,NA,NA
PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,Arrhythmia,ar,less,tachycardia,mild
Cefazolin,CEFAZOLIN,CEFAZOLIN SODIUM,,no,no,NA,NA
Droperidol,DROPERIDOL,DROPERIDOL,Arrhythmia,bw,most,fatal QT prolongation,severe
Ketamine Hydrochloride,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,Mixed,ar,less,hypotension /bradycardia,mild
ONDANSETRON,ONDANSETRON,ONDANSETRON HYDROCHLORIDE,Arrhythmia,wp,most,Torsade de Pointes,moderate
Pentobarbital Sodium,PENTOBARBITAL SODIUM,Pentobarbital Sodium,Mixed,wp,less ,acute myocardial infarction/cardiac rhythm,mild
Amikacin Sulfate,AMIKACIN SULFATE,AMIKACIN SULFATE,,no,no,NA,NA
THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,,no,no,NA,NA
Methylprednisolone Sodium Succinate,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,Heart Damage,wp,less,elevation of blood pressure,mild
Dimenhydrinate,DIMENHYDRINATE,DIMENHYDRINATE,Arrhythmia,ar,less,tachycardia,mild
Methylergonovine Maleate,METHYLERGONOVINE MALEATE,Methylergonovine Maleate,Mixed,ar,less,acute myocardial infarction/ventricular tachycardia,severe
SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,Arrhythmia,bw,most,"cardiac arrest, and death",severe
Tobramycin,TOBRAMYCIN SULFATE,Tobramycin Sulfate,,no,no,NA,NA
Aztreonam,AZTREONAM,AZTREONAM,Mixed,ar,less,transient ECG changes (ventricular bigeminy and PVC)/hypotension,mild
Oxacillin,OXACILLIN,OXACILLIN SODIUM,Heart Damage,ar,less," hypotension, vascular collapse",mild
Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride,Heart Damage,wp,most,myocardial infarction,severe
Colistimethate,COLISTIMETHATE SODIUM,colistimethate,,no,no,NA,NA
Succinylcholine Chloride,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE DIHYDRATE,Arrhythmia,bw,most,"cardiac arrest, and death",severe
Fosphenytoin,FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,Mixed,bw,most,severe hypotension and cardiac arrhythmias,moderate
PYRIDOXINE HCI,PYRIDOXINE HCI,PYRIDOXINE HYDROCHLORIDE,,no,no,NA,NA
Nafcillin,NAFCILLIN,NAFCILLIN SODIUM,,sp,ambiguous,Allergic reactions: hypotension,mild
Cefotetan,CEFOTETAN,CEFOTETAN,,no,no,NA,NA
Ertapenem,ERTAPENEM SODIUM,ERTAPENEM SODIUM,Mixed,ar,less,heart failure/ tachycardia,severe
Bumetanide,BUMETANIDE,bumetanide,Arrhythmia,ar,less,electrocardiogram changes,mild
Cefotetan,CEFOTETAN DISODIUM,CEFOTETAN DISODIUM,,no,no,NA,NA
ENLON,EDROPHONIUM CHLORIDE,edrophonium chloride,Arrhythmia,wp,most,cardiac and respiratory arrest ,severe
Pipracil,PIPERACILLIN SODIUM,Piperacillin Sodium,,no,no,NA,NA
Cefizox,CEFTIZOXIME SODIUM,ceftizoxime sodium,,no,no,NA,NA
Cortrosyn,CORTROSYN,Cosyntropin,Mixed,ar,less ,tachycardia/hypertension,mild
Brevital Sodium,METHOHEXITAL SODIUM,METHOHEXITAL SODIUM,Mixed,ar,less,tachycardia/peripheral vascular collapse,mild
LINCOMYCIN,LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE,,sp,ambiguous,cardio-respiratory arrest,severe
DEMEROL,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Glucagon,GLUCAGON,glucagon,,sp,ambiguous,"increase blood pressure, and
pulse rate in patients with cardiac disease",NA
Protopam Chloride,PRALIDOXIME CHLORIDE,PRALIDOXIME CHLORIDE,Mixed,ar,less,tachycardia/ increased systolic and diastolic blood pressure,mild
GlucaGen,GLUCAGON HYDROCHLORIDE,GLUCAGON HYDROCHLORIDE,,sp,ambiguous,"increase blood pressure, and
pulse rate in patients with cardiac disease",NA
Nalbuphine Hydrochloride,NALBUPHINE HYDROCHLORIDE,Nalbuphine Hydrochloride,Mixed,wp,less,severe hypotension/ bradycardia,mild
Deferoxamine mesylate,DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,Mixed,ar,less,tachycardia/hypotension,mild
Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride,Mixed,wp,less,hypotension /Tachycardia,mild
Sterile Water,STERILE WATER FOR INJECTION,WATER,,no,no,NA,NA
Revex,NALMEFENE HYDROCHLORIDE,nalmefene hydrochloride,Mixed,ar,less,Tachycardia/Hypertension,mild
Purified Cortrophin Gel,REPOSITORY CORTICOTROPIN,CORTICOTROPIN,Heart Damage,ar,less,Congestive heart failure,severe
Miacalcin,CALCITONIN SALMON,CALCITONIN SALMON,Heart Damage,ar,less,hypertension,mild
Makena,HYDROXYPROGESTERONE CAPROATE,HYDROXYPROGESTERONE CAPROATE,Heart Damage,wp,less,hypertension,mild
FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,Heart Damage,bw,most,death,severe
Lupron Depot-PED,LEUPROLIDE ACETATE,LEUPROLIDE ACETATE,Mixed,ar,less,bradycardia/hypertension,mild
Miochol E,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,Mixed,ar,less,bradycardia/hypotension,mild
TISSUEBLUE,BRILLIANT BLUE G,BRILLIANT BLUE G,,no,no,NA,NA
MEMBRANEBLUE,TRYPAN BLUE,TRYPAN BLUE,,no,no,NA,NA
Steritalc 2g; Steritalc 3g; Steritalc 4g,TALC,TALC,Arrhythmia,ar,less,arrhythmia,mild
Novocaine,PROCAINE HYDROCHLORIDE,Procaine Hydrochloride,Mixed,ar,less,cardiac arrest/ depression of the myocardium,severe
PRIALT,ZICONOTIDE ACETATE,ziconotide acetate,Heart Damage,ar,less,hypotension,mild
Indium DTPA In 111,INDIUM IN-111 PENTETATE DISODIUM,Indium In-111 Pentetate Disodium,,no,no,NA,NA
Spinraza,NUSINERSEN,Nusinersen,,no,no,NA,NA
OMNIPAQUE,IOHEXOL,Iohexol,Mixed,bw,most,cardiac arrest/hypotenson,severe
Cytarabine,CYTARABINE,cytarabine,Heart Damage,wp,less,cardiomegaly ,mild
ParaGard T 380A,COPPER,COPPER,,no,no,NA,NA
Conray,IOTHALAMATE MEGLUMINE,IOTHALAMATE MEGLUMINE,Mixed,wp,most,cardiac arrest/myocardial infarction,severe
ISOVUE 200; ISOVUE 250; ISOVUE 300; ISOVUE 370,IOPAMIDOL,IOPAMIDOL,Mixed,wp,most,cardiac arrest/myocardial infarction,severe
Visipaque,IODIXANOL,Iodixanol,Mixed,bw,most,cardiac arrest/myocardial infarction,severe
PROSTIN VR PEDIATRIC,ALPROSTADIL,ALPROSTADIL,Mixed,ar,less,cardiac arrest/hypotension,severe
Nouress,CYSTEINE HYDROCHLORIDE,CYSTEINE HYDROCHLORIDE,,no,no,NA,NA
Gallium Ga-68 PSMA-11,GALLIUM GA-68 GOZETOTIDE,GALLIUM GA-68 GOZETOTIDE,,no,no,NA,NA
Amidate,ETOMIDATE,Etomidate,Mixed,ar,Less, hypotension/ tachycardia,Mild
Vasopressin,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",Arrhythmia,wp,less,A decrease in cardiac index,mild
Ga-68-DOTATOC,EDOTREOTIDE GALLIUM GA-68,EDOTREOTIDE GALLIUM GA-68,,no,no,NA,NA
Photofrin,PORFIMER SODIUM,PORFIMER SODIUM,Mixed,ar,less,myocardial infarction/ supraventricular tachycardia.,severe
Omegaven,FISH OIL,Fish oil,,sp,ambiguous, hypersensitivity reaction:tachycardia/ hypotension,mild
AMONDYS 45,CASIMERSEN,casimersen,,no,no,NA,NA
Kit for the Preparation of Technetium Tc 99m Medronate,TECHNETIUM TC 99M MEDRONATE,TECHNETIUM TC-99M MEDRONATE,,no,no,NA,NA
Nulibry,FOSDENOPTERIN HYDROBROMIDE,fosdenopterin hydrobromide,,CLINICAL PHARMACOLOGY,no, QT study not been conducted,NA
acetylcysteine,ACETYLCYSTEINE,ACETYLCYSTEINE,,sp,ambiguous,Hypotension,mild
Onpattro,PATISIRAN,patisiran sodium,Arrhythmia,ar,less,atrioventricular (AV) heart block,mild
Xerava,ERAVACYCLINE,ERAVACYCLINE DIHYDROCHLORIDE,Arrhythmia,ar,less,palpitations,mild
ALIQOPA,COPANLISIB,COPANLISIB,Heart Damage,wp,less,hypertension,mild
GANITE,GALLIUM NITRATE,GALLIUM NITRATE,Heart Damage,ar,less,decrease in blood pressure,mild
Kimyrsa,ORITAVANCIN DIPHOSPHATE,oritavancin diphosphate,Arrhythmia,ar,less,Tachycardia,mild
Rifadin IV NOVAPLUS,RIFAMPIN,RIFAMPIN,,sp,ambiguous,hypersensitivity reactions: chest pain/palpitations,NA
Triferic AVNU,FERRIC PYROPHOSPHATE CITRATE,FERRIC PYROPHOSPHATE CITRATE,Heart Damage,ar,less,hypotension,mild
Ephedrine Sulfate,EPHEDRINE SULFATE,Ephedrine Sulfate,Mixed,ar,less,Tachycardia/reactive hypertension,mild
Ethamolin,ETHANOLAMINE OLEATE,Ethanolamine Oleate,,sp,ambiguous,patients with concomitant cardiorespiratory disease,NA
Fetroja,CEFIDEROCOL SULFATE TOSYLATE,Cefiderocol sulfate tosylate,Mixed,ar,less,congestive heart failure/atrial fibrillation,severe
Neuraceq,FLORBETABEN F 18,FLORBETABEN F-18,,no,no,NA,NA
CERIANNA,FLUOROESTRADIOL F 18,FLUOROESTRADIOL F-18,,no,no,NA,NA
TAUVID,FLORTAUCIPIR F-18,Flortaucipir F-18,,no,no,NA,NA
Viltepso,VILTOLARSEN,viltolarsen,Heart Damage,ar,less,Ejection fraction decreased,severe
RADICAVA,EDARAVONE,EDARAVONE,,sp,ambiguous,hypersensitivity reactions:decreased blood pressure,NA
Zulresso,BREXANOLONE,BREXANOLONE,Arrhythmia,ar,less,Tachycardia,mild
COPPER,CUPRIC CHLORIDE,CUPRIC CHLORIDE,,no,no,NA,NA
Xofigo,RADIUM RA 223 DICHLORIDE,RADIUM RA-223 DICHLORIDE,,no,no,NA,NA
Magnevist,GADOPENTETATE DIMEGLUMINE,GADOPENTETATE DIMEGLUMINE,Mixed,ar,less,tachycardia/hypertension,mild
Rapivab,PERAMIVIR,peramivir,,CLINICAL PHARMACOLOGY,no, not prolong the QTc interval,NA
MANGANESE,MANGANESE CHLORIDE,MANGANESE CHLORIDE,,no,no,NA,NA
Azedra,IOBENGUANE I-131,IOBENGUANE I-131,Mixed,ar,less,palpitations/hypotension,mild
Cyanokit,HYDROXOCOBALAMIN,Hydroxocobalamin,Heart Damage,wp,less,Elevations in blood pressure,mild
Cisplatin,CISPLATIN,cisplatin,Heart Damage,ar,less,myocardial infarction,severe
Orbactiv,ORITAVANCIN,ORITAVANCIN,Arrhythmia,ar,less,tachycardia,mild
Ascor,ASCORBIC ACID,ASCORBIC ACID,,no,no,NA,NA
Dopram,DOXAPRAM HYDROCHLORIDE,DOXAPRAM HYDROCHLORIDE,Arrhythmia,wp,most,various dysrhythmias,moderate
AdreView,IOBENGUANE I-123,Iobenguane I-123,,sp,ambiguous,"may increase release of norepinephrine from chromaffin granules and
produce a transient episode of hypertension,",NA
DAPZURA RT,DAPTOMYCIN,DAPTOMYCIN,Mixed,ar,less,supraventricular arrhythmia/Hypotension,moderate
Sodium Acetate,SODIUM ACETATE,SODIUM ACETATE ANHYDROUS,,sp,ambiguous,caution used in patients with cardiac failure,NA
REZIPRES,EPHEDRINE HYDROCHLORIDE,EPHEDRINE HYDROCHLORIDE,Mixed,ar,less,Tachycardia/hypertension,mild
Detectnet,COPPER CU 64 DOTATATE,COPPER OXODOTREOTIDE CU-64,,no,no,NA,NA
NETSPOT,68GA-DOTATATE,DOTATATE,,no,no,NA,NA
OLINVYK,OLICERIDINE,OLICERIDINE,Mixed,wp,most,QTc interval prolongation/severe hypotension,severe
Potassium Acetate,POTASSIUM ACETATE,POTASSIUM ACETATE,Arrhythmia,wp,most,"death by cardiac depression,
arrhythmias or arrest. ",severe
Calcium Chloride,CALCIUM CHLORIDE,CALCIUM CHLORIDE,,no,no,NA,NA
Choline C 11,CHOLINE C-11,CHOLINE C-11,,no,no,NA,NA
Ethyol,AMIFOSTINE,AMIFOSTINE,Mixed,wp,most,myocardial infarction/supraventricular tachycardia,severe
Sodium Nitrite,SODIUM NITRITE,Sodium Nitrite,Heart Damage,bw,most,hypotension/,mild
Giapreza,ANGIOTENSIN II,ANGIOTENSIN II,Arrhythmia,ar,less,Tachycardia ,mild
KINEVAC,SINCALIDE,Sincalide,Heart Damage,ar,less,hypertension,mild
Zemdri (plazomicin),PLAZOMICIN,PLAZOMICIN,Heart Damage,ar,less,Hypertension,mild
DEFITELIO,DEFIBROTIDE SODIUM,DEFIBROTIDE SODIUM,Heart Damage,ar,less,hypotension,mild
Vizamyl,FLUTEMETAMOL F-18,Flutemetamol F-18,Heart Damage,ar,less,Increased blood pressure ,mild
Chromium,CHROMIC CHLORIDE,CHROMIC CHLORIDE,,no,no,NA,NA
IXEMPRA,IXABEPILONE,IXABEPILONE,Mixed,wp,most,"myocardial ischemia/ventricular
dysfunction",severe
Dextrose,DEXTROSE,DEXTROSE,,sp,ambiguous,used with care in patients with cardiac decompensation,NA
ARGATROBAN,ARGATROBAN,ARGATROBAN,Arrhythmia,ar,less,cardiac arrest,mild
IC-Green,INDOCYANINE GREEN,indocyanine green,,no,no,NA,NA
YONDELIS,TRABECTEDIN,Trabectedin,Heart Damage,wp,most,cardiac failure,severe
Sodium Thiosulfate,SODIUM THIOSULFATE,Sodium Thiosulfate,Heart Damage,ar,less,Hypotension,mild
EOVIST,GADOXETATE DISODIUM,GADOXETATE DISODIUM,Mixed,ar,less,Tachycardia/Blood pressure increased,mild
Corlopam,FENOLDOPAM MESYLATE,FENOLDOPAM MESYLATE,Arrhythmia,wp,less,dose-related tachycardia ,mild
Technescan HDP,TECHNETIUM TC 99M OXIDRONATE,OXIDRONATE DISODIUM,,no,no,NA,NA
Selenious Acid,SELENIOUS ACID,SELENIUM,,no,no,NA,NA
VENOFER (IRON SUCROSE),VENOFER (IRON SUCROSE),IRON SUCROSE,Heart Damage,wp,less,hypotension,mild
R-Gene,ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE,,no,no,NA,NA
Beleodaq,BELINOSTAT,BELINOSTAT,Mixed,ar,less,Prolonged QT/Hypotension,moderate
CardioGen-82,RUBIDIUM CHLORIDE RB-82,RUBIDIUM CHLORIDE RB-82,Mixed,wp,most,myocardial infarction/arrhythmia,severe
BRIDION,SUGAMMADEX,SUGAMMADEX SODIUM,Arrhythmia,wp,most,cardiac arrest,severe
Veletri,EPOPROSTENOL,epoprostenol,Mixed,ar,less,tachycardia/hypotension,mild
Calcium Gluconate,CALCIUM GLUCONATE,CALCIUM GLUCONATE MONOHYDRATE,Arrhythmia,wp,most,cardiac arrest,severe
DEFINITY RT,PERFLUTREN,PERFLUTREN,Mixed,bw,most,serious cardiopulmonary reactions/hypertension,severe
Ferrlecit,SODIUM FERRIC GLUCONATE COMPLEX,SODIUM FERRIC GLUCONATE COMPLEX,Heart Damage,wp,less,hypotension,mild
NEUROLITE,BICISATE DIHYDROCHLORIDE,BICISATE DIHYDROCHLORIDE,Heart Damage,ar,less,cardiac failure,severe
Halaven,ERIBULIN MESYLATE,ERIBULIN MESYLATE,Arrhythmia,wp,most,QT prolongation,Moderate
Exondys 51,ETEPLIRSEN,eteplirsen,,sp,ambiguous,Hypersensitivity reaction:tachycardia,mild
Monoferric,FERRIC DERISOMALTOSE,FERRIC DERISOMALTOSE,Arrhythmia,ar,less,Tachycardia,mild
Lutathera,LUTETIUM LU 177 DOTATATE,LUTETIUM OXODOTREOTIDE LU-177,Arrhythmia,ar,less,Atrial fibrillation,mild
Folotyn,PRALATREXATE,PRALATREXATE,Arrhythmia,ar,less,Tachycardia,mild
GALLIUM CITRATE GA-67,GALLIUM CITRATE GA-67,GALLIUM CHLORIDE GA-67,,no,no,NA,NA
ChiRhoStim; ChiRhoStim 40,HUMAN SECRETIN,SECRETIN HUMAN,,no,no,NA,NA
Alimta,PEMETREXED DISODIUM,Pemetrexed disodium heptahydrate,Arrhythmia,ar,less,arrhythmia,mild
Corvert,IBUTILIDE FUMARATE,IBUTILIDE FUMARATE,Arrhythmia,wp,most,Torsades de pointes,severe
ERAXIS,ANIDULAFUNGIN,ANIDULAFUNGIN,Arrhythmia,ar,less, sinus arrhythmia,mild
ILLUCCIX,KIT FOR THE PREPARATION OF GALLIUM GA 68 GOZETOTIDE INJECTION,GOZETOTIDE,,no,no,NA,NA
BELRAPZO,BENDAMUSTINE HYDROCHLORIDE,BENDAMUSTINE HYDROCHLORIDE,Mixed,ar,less,congestive heart failure (some fatal)/palpitation,severe
Foscavir,FOSCARNET SODIUM,foscarnet sodium,Arrhythmia,wp,most,prolongation of the QT interval,severe
Zinc Sulfate,ZINC SULFATE,ZINC SULFATE,,no,no,NA,NA
Hextend,HETASTARCH,HETASTARCH,Heart Damage,ar,less, congestive heart failure,severe
OMNISCAN,GADODIAMIDE,gadodiamide,Mixed,ar,less,Cardiac failure/rare arrhythmia ,severe
Barhemsys,AMISULPRIDE,Amisulpride,Arrhythmia,wp,most,Prolongation of the QT interval,severe
Choletec,MEBROFENIN,MEBROFENIN,,no,no,NA,NA
Teflaro,CEFTAROLINE FOSAMIL,CEFTAROLINE FOSAMIL,Arrhythmia,ar,less,"Bradycardia, Palpitations",mild
Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,Mixed,wp,most,Ventricular Arrhythmias/Hypotension,moderate
VAPRISOL DEXTROSE IN PLASTIC CONTAINER,CONIVAPTAN HYDROCHLORIDE,conivaptan hydrochloride,Heart Damage,wp,less,hypotension,mild
Technetium Tc 99m Medronate,TECHNETIUM TC 99M MEDRONATE,MEDRONIC ACID,,sp,ambiguous,hypersensitivity reactions : hypotension,mild
Quadramet,SAMARIUM SM 153 LEXIDRONAM,SAMARIUM SM-153 LEXIDRONAM PENTASODIUM,Mixed,ar,less,Arrhythmias/Hypertension,mild
KYPROLIS,CARFILZOMIB,CARFILZOMIB,Mixed,wp,most,Cardiac failure/arrythmias,severe
PARSABIV,ETELCALCETIDE,ETELCALCETIDE HYDROCHLORIDE,Mixed,wp,most,Congestive heart failure/QT Interval Prolongation ,severe
Amyvid,FLORBETAPIR F 18,FLORBETAPIR F-18,Heart Damage,ar,less,Blood pressure increased,mild
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE ANHYDROUS,Mixed,wp,most,Congestive heart failure/QT Interval Prolongation ,severe
Vancomycin,VANCOMYCIN,VANCOMYCIN,Mixed,ar,less,Cardiac arrest/ chest pain,severe
AGGRASTAT,TIROFIBAN,TIROFIBAN HYDROCHLORIDE,Arrhythmia,ar,less,Bradycardia,mild
KENGREAL,CANGRELOR,CANGRELOR,,no,no,NA,NA
Injectafer,FERRIC CARBOXYMALTOSE; FERRIC CARBOXYMALTOSE INJECTION,FERRIC CARBOXYMALTOSE,Heart Damage,wp,less,hypertension ,mild
Torisel,TEMSIROLIMUS,TEMSIROLIMUS,Heart Damage,ar,less,pericardial effusion,severe
Zanosar,STREPTOZOCIN,STREPTOZOCIN,,no,no,NA,NA
Ultiva,REMIFENTANIL HYDROCHLORIDE,Remifentanil Hydrochloride,Mixed,wp,less,Bradycardia/Hypotension,mild
KHAPZORY,LEVOLEUCOVORIN,LEVOLEUCOVORIN DISODIUM,,no,no,NA,NA
Kit for the Preparation of Technetium Tc99m Pyrophosphate,TECHNETIUM TC99M PYROPHOSPHATE,TECHNETIUM TC-99M PYROPHOSPHATE,,no,no,"diagnosis of acute
myocardial infarction",NA
INDIUM IN 111 CHLORIDE,INDIUM IN 111 CHLORIDE,INDIUM CHLORIDE IN-111,,no,no,NA,NA
Totect,DEXRAZOXANE HYDROCHLORIDE,DEXRAZOXANE HYDROCHLORIDE,,sp,ambiguous,Monitor cardiac function before and periodically during therapy,NA
ETOPOPHOS,ETOPOSIDE PHOSPHATE,etoposide phosphate,,no,no,NA,NA
Jevtana,CABAZITAXEL,cabazitaxel,,sp,ambiguous,combination :ventricular fibrillation,mild
Gallium,GALLIUM CITRATE GA-67,GALLIUM CITRATE GA-67,,no,no,NA,NA
Cytalux,PAFOLACIANINE INJECTION,PAFOLACIANINE SODIUM,,no,no,NA,NA
Cosela,TRILACICLIB,trilaciclib dihydrochloride,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,NA
Sodium Chloride,SODIUM CHLORIDE,SODIUM CHLORIDE,,sp,ambiguous,used with great care in patients with congestive heart failure,NA
MultiHance,GADOBENATE DIMEGLUMINE,gadobenate dimeglumine,Arrhythmia,wp,most,QTc prolongation,moderate
DaTscan,IOFLUPANE I-123,ioflupane I-123,,no,no,NA,NA
